Episode reward: 0.850	Steps: 16	Avg. loss: 0.0	Avg. reward: 0.85	Avg. Q: 1.0	Greedinessless: 0.85	Vanilla reward: 24.000
Episode reward: 0.670	Steps: 1797	Avg. loss: 0.003386826568607325	Avg. reward: -0.08057142857142885	Avg. Q: 0.9793755546504376	Greedinessless: 0.1499999999999998	Vanilla reward: -38.000
Episode reward: 0.850	Steps: 1813	Avg. loss: 0.005119518312085347	Avg. reward: -0.054722222222222484	Avg. Q: 0.9770237902800242	Greedinessless: 0.0999999999999998	Vanilla reward: 39.000
Episode reward: -0.750	Steps: 1888	Avg. loss: 0.001596371449283508	Avg. reward: -0.07351351351351379	Avg. Q: 0.9693360341919793	Greedinessless: 0.0999999999999998	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 1963	Avg. loss: 0.003929776286289173	Avg. reward: -0.09131578947368449	Avg. Q: 0.9700971047083536	Greedinessless: 0.0999999999999998	Vanilla reward: -315.000
Episode reward: -0.750	Steps: 2038	Avg. loss: 0.002642033545366997	Avg. reward: -0.1082051282051285	Avg. Q: 0.9628007414605882	Greedinessless: 0.0999999999999998	Vanilla reward: -310.000
Episode reward: -0.750	Steps: 2113	Avg. loss: 0.004496232349418661	Avg. reward: -0.12425000000000028	Avg. Q: 0.9368943911128574	Greedinessless: 0.0999999999999998	Vanilla reward: -320.000
Episode reward: 0.940	Steps: 2120	Avg. loss: 0.009611673565814272	Avg. reward: -0.09829268292682955	Avg. Q: 0.9225673107873826	Greedinessless: 0.049999999999999795	Vanilla reward: 75.000
Episode reward: -0.750	Steps: 2195	Avg. loss: 0.0028623802306052917	Avg. reward: -0.1138095238095241	Avg. Q: 0.9361938495106167	Greedinessless: 0.049999999999999795	Vanilla reward: -335.000
Episode reward: 0.850	Steps: 2211	Avg. loss: 5.3016384754300816e-05	Avg. reward: -0.09139534883720958	Avg. Q: 0.9582854472100735	Greedinessless: 0.02	Vanilla reward: 19.000
Episode reward: 0.990	Steps: 2213	Avg. loss: 5.166407936485484e-05	Avg. reward: -0.0668181818181821	Avg. Q: 0.960811714331309	Greedinessless: 0.02	Vanilla reward: 95.000
Episode reward: -0.750	Steps: 2288	Avg. loss: 0.002522151361182822	Avg. reward: -0.08200000000000028	Avg. Q: 0.9383987715509203	Greedinessless: 0.02	Vanilla reward: -360.000
Episode reward: -0.750	Steps: 2363	Avg. loss: 0.002134398383860672	Avg. reward: -0.09652173913043506	Avg. Q: 0.9403234352005853	Greedinessless: 0.02	Vanilla reward: -310.000
Episode reward: -0.750	Steps: 2438	Avg. loss: 0.005918529259935512	Avg. reward: -0.1104255319148939	Avg. Q: 0.9182714952362908	Greedinessless: 0.02	Vanilla reward: -310.000
Episode reward: -0.750	Steps: 2513	Avg. loss: 0.0045344269678217215	Avg. reward: -0.12375000000000029	Avg. Q: 0.9414501810073852	Greedinessless: 0.02	Vanilla reward: -310.000
Episode reward: -0.750	Steps: 2588	Avg. loss: 0.005546215341909326	Avg. reward: -0.13653061224489824	Avg. Q: 0.9327615984280904	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 2663	Avg. loss: 0.002680338501704682	Avg. reward: -0.14880000000000027	Avg. Q: 0.9348534427748786	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 2738	Avg. loss: 0.003021186919125428	Avg. reward: -0.16058823529411792	Avg. Q: 0.9492593150668674	Greedinessless: 0.02	Vanilla reward: -365.000
Episode reward: -0.750	Steps: 2813	Avg. loss: 0.003496460887378673	Avg. reward: -0.17192307692307718	Avg. Q: 0.9318910606702169	Greedinessless: 0.02	Vanilla reward: -320.000
Episode reward: -0.750	Steps: 2888	Avg. loss: 0.0035152869635758656	Avg. reward: -0.18283018867924555	Avg. Q: 0.9330426624086168	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 2963	Avg. loss: 0.003662879655368872	Avg. reward: -0.19333333333333358	Avg. Q: 0.9275223983658685	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 3038	Avg. loss: 0.0038864586512270187	Avg. reward: -0.2034545454545457	Avg. Q: 0.9280174602402581	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 3113	Avg. loss: 0.004670355436438082	Avg. reward: -0.21321428571428597	Avg. Q: 0.9072137464417351	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 3188	Avg. loss: 0.005569296689492675	Avg. reward: -0.22263157894736865	Avg. Q: 0.8880472890535991	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 3263	Avg. loss: 0.002452788771430884	Avg. reward: -0.23172413793103472	Avg. Q: 0.9092879536416796	Greedinessless: 0.02	Vanilla reward: -360.000
Episode reward: -0.750	Steps: 3338	Avg. loss: 0.0028442902275855886	Avg. reward: -0.24050847457627142	Avg. Q: 0.9116367832819621	Greedinessless: 0.02	Vanilla reward: -350.000
Episode reward: 0.920	Steps: 3347	Avg. loss: 0.008679784747073427	Avg. reward: -0.2211666666666669	Avg. Q: 0.9269749720891317	Greedinessless: 0.02	Vanilla reward: 57.000
Episode reward: -0.750	Steps: 3422	Avg. loss: 0.004237640110611545	Avg. reward: -0.22983606557377073	Avg. Q: 0.898641919294993	Greedinessless: 0.02	Vanilla reward: -315.000
Episode reward: -0.750	Steps: 3497	Avg. loss: 0.002370235538269059	Avg. reward: -0.23822580645161312	Avg. Q: 0.9128246916664972	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 3572	Avg. loss: 0.0018620238347945193	Avg. reward: -0.24634920634920657	Avg. Q: 0.9142425693405999	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 3647	Avg. loss: 0.0038684816544345166	Avg. reward: -0.2542187500000002	Avg. Q: 0.8909271356794569	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: 0.840	Steps: 3664	Avg. loss: 0.005362071303534321	Avg. reward: -0.2373846153846156	Avg. Q: 0.9245141931608611	Greedinessless: 0.02	Vanilla reward: 14.000
Episode reward: 0.330	Steps: 3732	Avg. loss: 0.005058431652287254	Avg. reward: -0.22878787878787898	Avg. Q: 0.9049209505319595	Greedinessless: 0.02	Vanilla reward: -266.000
Episode reward: -0.750	Steps: 3807	Avg. loss: 0.0010497064077349529	Avg. reward: -0.23656716417910467	Avg. Q: 0.9268483228153652	Greedinessless: 0.02	Vanilla reward: -370.000
Episode reward: -0.750	Steps: 3882	Avg. loss: 0.0037298011328331135	Avg. reward: -0.24411764705882377	Avg. Q: 0.9081050276756286	Greedinessless: 0.02	Vanilla reward: -320.000
Episode reward: -0.750	Steps: 3957	Avg. loss: 0.0019068261225536269	Avg. reward: -0.2514492753623191	Avg. Q: 0.9177820046742757	Greedinessless: 0.02	Vanilla reward: -365.000
Episode reward: -0.750	Steps: 4032	Avg. loss: 0.003621870775149498	Avg. reward: -0.2585714285714288	Avg. Q: 0.8884663936826918	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 4107	Avg. loss: 0.0035973218774516783	Avg. reward: -0.2654929577464791	Avg. Q: 0.8629280551274617	Greedinessless: 0.02	Vanilla reward: -310.000
Episode reward: -0.750	Steps: 4182	Avg. loss: 0.005016772356803382	Avg. reward: -0.2722222222222224	Avg. Q: 0.8616685975922479	Greedinessless: 0.02	Vanilla reward: -380.000
Episode reward: -0.750	Steps: 4257	Avg. loss: 0.0019387195777534018	Avg. reward: -0.27876712328767145	Avg. Q: 0.8748170047336155	Greedinessless: 0.02	Vanilla reward: -345.000
Episode reward: 0.450	Steps: 4313	Avg. loss: 0.0034792213752682854	Avg. reward: -0.2689189189189191	Avg. Q: 0.8603125313917795	Greedinessless: 0.02	Vanilla reward: -161.000
Episode reward: -0.750	Steps: 4388	Avg. loss: 0.005067107004403002	Avg. reward: -0.27533333333333354	Avg. Q: 0.866970644791921	Greedinessless: 0.02	Vanilla reward: -365.000
